年月日,未調整收盤價(元),週報酬率 %,外資買賣超(張),投信買賣超(張),自營買賣超(張),融資增加(張),融資減少(張),融券增加(張),融券減少(張),外資連續累計買賣超(張),投信連續累計買賣超(張),自營連續累計買賣超(張),法人連續累計買賣超(張),外資成交比重,投信成交比重,自營成交比重,法人成交比重,信用交易比重
2016/4/22,156.5,-0.018808,7473,-86,-2241,0,291,278,0,18640,-3018,-3425,14956,72.96,0.2,5.05,78.21,0.37
2016/4/29,150,-0.041533,-28497,-1187,2040,1673,0,0,294,-51454,-1460,6782,-46340,68.48,0.78,1.95,71.2,0.41
2016/5/6,148,-0.013334,-6136,-8,123,170,0,76,0,-145605,-8,11840,-135895,84.42,0.04,1.38,85.84,0.32
2016/5/13,144,-0.027027,-33496,320,934,571,0,0,79,-222094,320,934,-211914,62.46,0.28,2.01,64.75,0.16
2016/5/20,148.5,0.03125,6172,283,-3769,0,1251,321,0,6172,2062,-4901,2686,71.3,0.55,6.45,78.31,0.46
2016/5/27,156.5,0.053871,5756,331,-243,0,450,198,0,22206,1066,-1579,21693,76.63,0.62,2.04,79.29,0.4
2016/6/4,160,0.022364,752,-708,646,0,26,0,73,86986,-1106,646,84983,16.88,20.64,12.39,49.9,0.17
2016/6/8,165.5,0.034375,19134,-117,-54,0,436,62,0,135252,-117,-54,133599,62.38,0.5,1.94,64.82,0.35
2016/6/17,163,-0.015105,7676,-309,-306,0,424,0,129,7676,-567,-306,7061,74.8,0.5,6.01,81.31,0.19
2016/6/24,159,-0.02454,-39336,-680,9460,1828,0,0,0,-39336,-709,17745,-30556,52.46,0.46,7.68,60.6,0.02
2016/7/1,166,0.084309,23286,-129,-1686,0,810,1460,0,83453,-155,-12573,71472,55.36,0.23,3.08,58.68,0.32
2016/7/7,164.5,-0.009036,5787,-169,-1663,0,343,553,0,5787,-2081,-1663,3955,47.51,0.53,4.3,52.34,0.14
2016/7/15,169.5,0.030395,2857,-1087,587,0,301,1,0,11169,-2219,587,7436,69.38,1.32,2.32,73.02,0.25
2016/7/22,171,0.00885,5743,-176,-1407,0,160,141,0,57719,-790,-1407,49988,78.35,1.64,3.27,83.26,0.09
2016/7/29,172.5,0.008771,-2711,-258,1368,690,0,0,179,-2711,-258,1368,-1601,69.37,0.63,4.21,74.21,0.08
2016/8/5,177,0.026087,13042,-361,-2658,0,1204,161,0,14956,-1265,-3421,11042,60.17,0.7,6.19,67.06,0.13
2016/8/12,177.5,0.002825,6078,-244,-1019,0,109,228,0,6078,-783,-1019,4815,80.88,0.59,2.76,84.22,0.01
2016/8/19,174.5,-0.016902,-902,-974,-642,31,0,55,0,-902,-3106,-642,-2518,69.86,2.07,2.95,74.88,0.04
2016/8/26,177,0.014326,447,-429,908,150,0,0,3,13230,-4362,908,9852,84.8,1.52,3.4,89.72,0.11
